ads_id,ads,link,sort,page,type,ads_name
85,eeb574a7c999cec390510978a84d5630_a3.jpg,http://www.ptt.co.th/th/brand/index.php?id=37&cat_id=93,3,1,img,yealink headset
125,eeb574a7c999cec390510978a84d5630_service_rain.png,https://www.ptt.co.th/th/service/,1,1,img,ตรวจเช็คหน้าฝน
84,eeb574a7c999cec390510978a84d5630_a2.jpg,http://www.ptt.co.th/th/brand/index.php?id=37&cat_id=10,2,1,img,yealink ipphone
86,eeb574a7c999cec390510978a84d5630_a5.jpg,http://www.ptt.co.th/th/brand/index.php?id=3&cat_id=18,4,1,img,forth ipx
87,eeb574a7c999cec390510978a84d5630_slide banner ptt 04-05-65_a7 (1).jpg,http://www.ptt.co.th/th/NurseCall/,5,1,img,nurse call n64
88,eeb574a7c999cec390510978a84d5630_slide banner ptt 04-05-65_a6 (1).jpg,http://www.ptt.co.th/th/brand/index.php?id=2&cat_id=18,6,1,img,NEC SL2100
90,eeb574a7c999cec390510978a84d5630_slide banner logocheque-01-01.jpg,http://www.ptt.co.th/th/logocheque/,7,1,img,logochequeV5
124,eeb574a7c999cec390510978a84d5630_Untitled.png,https://www.ptt.co.th/th/service/,8,1,img,บริการตรวจเช็คระบบหน้าฝน

