id,sort,name,location
21,7,ชุดเรียกพยาบาล NC64 Series (Nurse Call),http://www.ptt.co.th/th/NurseCall/
14,1,ตู้สาขาโทรศัพท์สุดฮอต,http://www.ptt.co.th/th/search/index.php
20,4,ตู้สาขาโทรศัพท์ forth,http://www.ptt.co.th/th/brand/index.php?id=3&cl_id=2
22,5,ตู้สาขา NEC,http://www.ptt.co.th/th/brand/index.php?id=2&cl_id=2
23,6,ตู้สาขา Panasonic,http://www.ptt.co.th/th/brand/index.php?id=1&cl_id=2
25,3,Hybrid Mesh Firewall,https://www.ptt.co.th/th/search/index.php?search_cat=33
26,2,Yealink Intelligent Camera and Speaker,https://www.ptt.co.th/th/brand/index.php?id=37

